Kvote;LAERESTEDNAVN;Lærested;Opptaksrunde;Poenggrense;POENGGRENSE;Sesong;Studiekode;STUDIEPOENG;STUDIESTED;STUDIUMNAVN;TID;Utdanningsområde og -type *IKKE BRUK*;År;Venteliste
ORDF;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;51,1;  51.1;H;215 744;180;Oslo;Ortopediingeniør;2017H;HELSEFAG - ORTOPEDI;2017;17
ORD;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;57,7;  57.7;H;215 744;180;Oslo;Ortopediingeniør;2017H;HELSEFAG - ORTOPEDI;2017;34
ORDF;Høgskolen i Østfold;HIØ;Hovedopptak;0;Alle;H;224 610;60;Nettstudium;Fransk;2017H;SPRÅK;2017;0
ORD;Høgskolen i Østfold;HIØ;Hovedopptak;0;Alle;H;224 610;60;Nettstudium;Fransk;2017H;SPRÅK;2017;0
ORDF;VID vitenskapelige høgskole;VID;Hovedopptak;35;  35.0;H;251 700;180;Sandnes;Ergoterapeututdanning;2017H;HELSEFAG - ERGO;2017;50
ORD;VID vitenskapelige høgskole;VID;Hovedopptak;43,8;  43.8;H;251 700;180;Sandnes;Ergoterapeututdanning;2017H;HELSEFAG - ERGO;2017;176
ORDF;Noroff University College;NOROFF;Hovedopptak;0;Alle;H;259 673;180;Kristiansand;Interactive Media Games;2017H;MEDIEFAG;2017;0
ORD;Noroff University College;NOROFF;Hovedopptak;0;Alle;H;259 673;180;Kristiansand;Interactive Media Games;2017H;MEDIEFAG;2017;0
ORD;Universitetet i Agder;UIA;Hovedopptak;44,8;  44.8;H;201 240;60;Kristiansand;Sosiologi;2017H;SAMFUNN;2017;162
ORDF;Universitetet i Agder;UIA;Hovedopptak;40,9;  40.9;H;201 240;60;Kristiansand;Sosiologi;2017H;SAMFUNN;2017;75
ORDF;Universitetet i Agder;UIA;Hovedopptak;0;Alle;H;201 336;180;Nettstudium;Skolebibliotekkunnskap;2017H;MEDIEFAG;2017;0
ORD;Universitetet i Agder;UIA;Hovedopptak;48,6;  48.6;H;201 336;180;Nettstudium;Skolebibliotekkunnskap;2017H;MEDIEFAG;2017;30
ORDF;Høgskulen på Vestlandet;HVL;Hovedopptak;0;Alle;H;203 002;180;Haugesund;Ingeniør, brannsikkerhet;2017H;TEKNO - INGENIØR;2017;0
ORD;Høgskulen på Vestlandet;HVL;Hovedopptak;0;Alle;H;203 002;180;Haugesund;Ingeniør, brannsikkerhet;2017H;TEKNO - INGENIØR;2017;0
ORDF;Nord universitet;NORD;Hovedopptak;0;Alle;H;204 481;180;Bodø;Historie, bachelor;2017H;HISTORIE;2017;0
ORD;Nord universitet;NORD;Hovedopptak;0;Alle;H;204 481;180;Bodø;Historie, bachelor;2017H;HISTORIE;2017;0
ORDF;Nord universitet;NORD;Hovedopptak;46;  46.0;H;204 749;180;Namsos;Farmasi;2017H;HELSEFAG - RESEPTAR;2017;61
ORD;Nord universitet;NORD;Hovedopptak;51,6;  51.6;H;204 749;180;Namsos;Farmasi;2017H;HELSEFAG - RESEPTAR;2017;125
ORDF;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 155;180;Kongsberg;Lysdesign;2017H;TEKNO - ANNET;2017;0
ORD;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 155;180;Kongsberg;Lysdesign;2017H;TEKNO - ANNET;2017;0
ORDF;Universitetet i Innlandet;INN;Hovedopptak;-1;O.i.;H;210 534;180;Lillehammer;TV-ledelse;2017H;MEDIEFAG;2017;0
ORD;Universitetet i Innlandet;INN;Hovedopptak;-1;O.i.;H;210 534;180;Lillehammer;TV-ledelse;2017H;MEDIEFAG;2017;0
ORD;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 353;180;Horten;Nautikk;2017H;TEKNO - MARITIM;2017;0
ORDF;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 353;180;Horten;Nautikk;2017H;TEKNO - MARITIM;2017;0
ORD;Høgskulen i Volda;HVO;Hovedopptak;41;  41.0;H;223 210;60;Volda;Norsk (nordisk);2017H;SPRÅK;2017;6
ORDF;Høgskulen i Volda;HVO;Hovedopptak;0;Alle;H;223 210;60;Volda;Norsk (nordisk);2017H;SPRÅK;2017;0
ORDF;Høgskulen i Volda;HVO;Hovedopptak;0;Alle;H;223 446;60;Volda;Matkultur og helse;2017H;HELSEFAG - ERNÆRING;2017;0
ORD;Høgskulen i Volda;HVO;Hovedopptak;39,4;  39.4;H;223 446;60;Volda;Matkultur og helse;2017H;HELSEFAG - ERNÆRING;2017;3
ORDF;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;39,1;  39.1;H;215 395;180;Oslo;Informasjonsteknologi;2017H;INFOTEKN;2017;46
ORD;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;49,9;  49.9;H;215 395;180;Oslo;Informasjonsteknologi;2017H;INFOTEKN;2017;179
ORD;Høgskulen på Vestlandet;HVL;Hovedopptak;40,6;  40.6;H;216 070;180;Sogndal;Barnevernspedagogutdanning;2016H;HELSEFAG - BARNEVER;2016;160
ORDF;Høgskulen på Vestlandet;HVL;Hovedopptak;35,8;  35.8;H;216 070;180;Sogndal;Barnevernspedagogutdanning;2016H;HELSEFAG - BARNEVER;2016;65
ORDF;Universitetet i Bergen;UIB;Hovedopptak;41,4;  41.4;H;184 860;180;Bergen;Kjemi;2016H;REALFAG;2016;4
ORD;Universitetet i Bergen;UIB;Hovedopptak;36,9;  36.9;H;184 860;180;Bergen;Kjemi;2016H;REALFAG;2016;5
ORDF;Universitetet i Stavanger;UIS;Hovedopptak;37,6;  37.6;H;217 881;180;Stavanger;Statsvitenskap;2016H;SAMFUNN;2016;45
ORD;Universitetet i Stavanger;UIS;Hovedopptak;40,2;  40.2;H;217 881;180;Stavanger;Statsvitenskap;2016H;SAMFUNN;2016;88
ORDF;Universitetet i Oslo;UIO;Hovedopptak;0;Alle;H;185 233;60;Oslo;Realfag;2016H;REALFAG;2016;0
ORD;Universitetet i Oslo;UIO;Hovedopptak;0;Alle;H;185 233;60;Oslo;Realfag;2016H;REALFAG;2016;0
ORDF;Universitetet i Agder;UIA;Hovedopptak;0;Alle;H;201 205;60;Kristiansand;Matematikk, årsstudium;2016H;REALFAG;2016;0
ORD;Universitetet i Agder;UIA;Hovedopptak;0;Alle;H;201 205;60;Kristiansand;Matematikk, årsstudium;2016H;REALFAG;2016;0
ORDF;Universitetet i Agder;UIA;Hovedopptak;0;Alle;H;201 803;180;Grimstad;Ingeniør, elektronikk;2016H;TEKNO - INGENIØR;2016;0
ORD;Universitetet i Agder;UIA;Hovedopptak;40,7;  40.7;H;201 803;180;Grimstad;Ingeniør, elektronikk;2016H;TEKNO - INGENIØR;2016;13
ORDF;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 155;180;Kongsberg;Lysdesign;2016H;TEKNO - ANNET;2016;0
ORD;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 155;180;Kongsberg;Lysdesign;2016H;TEKNO - ANNET;2016;0
ORD;Høgskulen på Vestlandet;HVL;Hovedopptak;46,3;  46.3;H;203 701;180;Bergen;Radiografutdanning;2016H;HELSEFAG - RADIO;2016;304
ORDF;Høgskulen på Vestlandet;HVL;Hovedopptak;39,8;  39.8;H;203 701;180;Bergen;Radiografutdanning;2016H;HELSEFAG - RADIO;2016;106
ORDF;UiT Norges arktiske universitet;UIT;Hovedopptak;0;Alle;H;186 649;60;Alta;Idrett, Alta, årsstudium;2016H;IDRETT;2016;0
ORD;UiT Norges arktiske universitet;UIT;Hovedopptak;0;Alle;H;186 649;60;Alta;Idrett, Alta, årsstudium;2016H;IDRETT;2016;0
ORD;Høgskulen i Volda;HVO;Hovedopptak;0;Alle;H;223 623;60;Volda;Engelsk;2016H;SPRÅK;2016;0
ORDF;Høgskulen i Volda;HVO;Hovedopptak;0;Alle;H;223 623;60;Volda;Engelsk;2016H;SPRÅK;2016;0
ORDF;Nord universitet;NORD;Hovedopptak;0;Alle;H;204 660;240;Bodø;Grunnskolelærer 5.-10. trinn, Bodø, yrkesutd., samlingsbasert;2016H;LÆRER - GRL5-10;2016;0
ORD;Nord universitet;NORD;Hovedopptak;0;Alle;H;204 660;240;Bodø;Grunnskolelærer 5.-10. trinn, Bodø, yrkesutd., samlingsbasert;2016H;LÆRER - GRL5-10;2016;0
ORDF;Høgskolen i Østfold;HIØ;Hovedopptak;39,6;  39.6;H;224 070;180;Fredrikstad;Barnevern;2016H;HELSEFAG - BARNEVER;2016;158
ORD;Høgskolen i Østfold;HIØ;Hovedopptak;45,6;  45.6;H;224 070;180;Fredrikstad;Barnevern;2016H;HELSEFAG - BARNEVER;2016;436
ORD;VID vitenskapelige høgskole;VID;Hovedopptak;49;  49.0;H;251 061;180;Sandnes;Vernepleierutdanning, deltid;2016H;HELSEFAG - VERNEPL;2016;219
ORDF;VID vitenskapelige høgskole;VID;Hovedopptak;33,2;  33.2;H;251 061;180;Sandnes;Vernepleierutdanning, deltid;2016H;HELSEFAG - VERNEPL;2016;22
ORDF;NLA Høgskolen;NLA;Hovedopptak;0;Alle;H;254 130;180;Bergen;Barnehagelærer;2016H;LÆRER - BHGLÆRER;2016;0
ORD;NLA Høgskolen;NLA;Hovedopptak;0;Alle;H;254 130;180;Bergen;Barnehagelærer;2016H;LÆRER - BHGLÆRER;2016;0
ORD;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;43,9;  43.9;H;215 130;180;Oslo;Barnehagelærerutdanning;2016H;LÆRER - BHGLÆRER;2016;416
ORDF;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;32,7;  32.7;H;215 130;180;Oslo;Barnehagelærerutdanning;2016H;LÆRER - BHGLÆRER;2016;73
ORD;UiT Norges arktiske universitet;UIT;Hovedopptak;0;Alle;H;186 814;300;Tromsø;Romfysikk;2017H;TEKNO - SIVING;2017;0
ORDF;UiT Norges arktiske universitet;UIT;Hovedopptak;0;Alle;H;186 814;300;Tromsø;Romfysikk;2017H;TEKNO - SIVING;2017;0
ORDF;Norges teknisk-naturvitenskapelige universitet;NTNU;Hovedopptak;0;Alle;H;194 404;180;Nettstudium;Økonomi, ledelse og bærekraft, fleksibel;2017H;ØKADM;2017;0
ORD;Norges teknisk-naturvitenskapelige universitet;NTNU;Hovedopptak;59,2;  59.2;H;194 404;180;Nettstudium;Økonomi, ledelse og bærekraft, fleksibel;2017H;ØKADM;2017;327
ORDF;Universitetet i Oslo;UIO;Hovedopptak;0;Alle;H;185 690;60;Oslo;Tysk, årsstudium;2017H;SPRÅK;2017;0
ORD;Universitetet i Oslo;UIO;Hovedopptak;0;Alle;H;185 690;60;Oslo;Tysk, årsstudium;2017H;SPRÅK;2017;0
ORDF;UiT Norges arktiske universitet;UIT;Hovedopptak;0;Alle;H;186 162;60;Harstad;Praktisk prosjektledelse;2017H;ØKADM;2017;0
ORD;UiT Norges arktiske universitet;UIT;Hovedopptak;0;Alle;H;186 162;60;Harstad;Praktisk prosjektledelse;2017H;ØKADM;2017;0
ORD;Norges teknisk-naturvitenskapelige universitet;NTNU;Hovedopptak;42,8;  42.8;H;207 700;180;Gjøvik;Ergoterapiutdanning;2015H;HELSEFAG - ERGO;2015;62
ORDF;Norges teknisk-naturvitenskapelige universitet;NTNU;Hovedopptak;31,3;  31.3;H;207 700;180;Gjøvik;Ergoterapiutdanning;2015H;HELSEFAG - ERGO;2015;6
ORD;Universitetet i Oslo;UIO;Hovedopptak;51,2;  51.2;H;185 899;180;Oslo;Tannpleie;2015H;HELSEFAG - ODONT;2015;315
ORDF;Universitetet i Oslo;UIO;Hovedopptak;44,3;  44.3;H;185 899;180;Oslo;Tannpleie;2015H;HELSEFAG - ODONT;2015;99
ORD;Universitetet i Sørøst-Norge;USN;Hovedopptak;41,8;  41.8;H;222 132;180;Drammen;Barnehagelærerutdanning, Drammen;2015H;LÆRER - BHGLÆRER;2015;91
ORDF;Universitetet i Sørøst-Norge;USN;Hovedopptak;28,7;  28.7;H;222 132;180;Drammen;Barnehagelærerutdanning, Drammen;2015H;LÆRER - BHGLÆRER;2015;3
ORD;Universitetet i Innlandet;INN;Hovedopptak;0;Alle;H;209 446;60;Elverum;Årsstudium i mat, ernæring og helse, Elverum;2015H;HELSEFAG - ERNÆRING;2015;0
ORDF;Universitetet i Innlandet;INN;Hovedopptak;0;Alle;H;209 446;60;Elverum;Årsstudium i mat, ernæring og helse, Elverum;2015H;HELSEFAG - ERNÆRING;2015;0
ORD;Universitetet i Sørøst-Norge;USN;Hovedopptak;44,8;  44.8;H;222 701;180;Drammen;Bachelor i radiografi, Drammen;2015H;HELSEFAG - RADIO;2015;267
ORDF;Universitetet i Sørøst-Norge;USN;Hovedopptak;37,3;  37.3;H;222 701;180;Drammen;Bachelor i radiografi, Drammen;2015H;HELSEFAG - RADIO;2015;68
ORD;Universitetet i Innlandet;INN;Hovedopptak;42,5;  42.5;H;210 070;180;Lillehammer;Barnevernspedagogutdanning;2015H;HELSEFAG - BARNEVER;2015;311
ORDF;Universitetet i Innlandet;INN;Hovedopptak;36,8;  36.8;H;210 070;180;Lillehammer;Barnevernspedagogutdanning;2015H;HELSEFAG - BARNEVER;2015;127
ORD;Høgskulen i Volda;HVO;Hovedopptak;50;  50.0;H;223 454;180;Volda;Bachelorgradsstudium i journalistikk;2015H;MEDIEFAG;2015;145
ORDF;Høgskulen i Volda;HVO;Hovedopptak;46;  46.0;H;223 454;180;Volda;Bachelorgradsstudium i journalistikk;2015H;MEDIEFAG;2015;85
ORD;Arkitektur- og designhøgskolen i Oslo;AHO;Hovedopptak;158,4; 158.4;H;189 343;300;Oslo;Master i design;2015H;TEKNO - SIVING;2015;97
ORDF;Arkitektur- og designhøgskolen i Oslo;AHO;Hovedopptak;142,4; 142.4;H;189 343;300;Oslo;Master i design;2015H;TEKNO - SIVING;2015;42
ORD;Nord universitet;NORD;Hovedopptak;-2;Avlyst;H;213 604;60;Mo i Rana;Digitale medier;2015H;MEDIEFAG;2015;0
ORDF;Nord universitet;NORD;Hovedopptak;-2;Avlyst;H;213 604;60;Mo i Rana;Digitale medier;2015H;MEDIEFAG;2015;0
ORD;Høgskolen i Østfold;HIØ;Hovedopptak;46,9;  46.9;H;224 912;60;Halden;Spansk, Halden;2015H;SPRÅK;2015;28
ORDF;Høgskolen i Østfold;HIØ;Hovedopptak;0;Alle;H;224 912;60;Halden;Spansk, Halden;2015H;SPRÅK;2015;0
ORD;Nord universitet;NORD;Hovedopptak;45;  45.0;H;214 749;180;Namsos;Farmasiutdanning;2015H;HELSEFAG - RESEPTAR;2015;38
ORDF;Nord universitet;NORD;Hovedopptak;39,5;  39.5;H;214 749;180;Namsos;Farmasiutdanning;2015H;HELSEFAG - RESEPTAR;2015;11
ORD;Politihøgskolen;PHS;Hovedopptak;49,7;  49.7;H;233 681;180;Oslo;Politiutdanning, Oslo;2015H;JUS;2015;518
ORD;NLA Høgskolen;NLA;Hovedopptak;44,1;  44.1;H;254 185;60;Bergen;Idrett, årsstudium;2015H;IDRETT;2015;137
ORDF;NLA Høgskolen;NLA;Hovedopptak;42,2;  42.2;H;254 185;60;Bergen;Idrett, årsstudium;2015H;IDRETT;2015;87
ORD;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;48,5;  48.5;H;215 449;180;Oslo;Bachelorstudium i anvendt datateknologi;2015H;TEKNO - ANNET;2015;340
ORDF;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;35,7;  35.7;H;215 449;180;Oslo;Bachelorstudium i anvendt datateknologi;2015H;TEKNO - ANNET;2015;70
ORD;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;51,1;  51.1;H;215 749;180;Oslo;Bachelorstudium i farmasi;2015H;HELSEFAG - RESEPTAR;2015;171
ORDF;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;45,8;  45.8;H;215 749;180;Oslo;Bachelorstudium i farmasi;2015H;HELSEFAG - RESEPTAR;2015;78
ORD;Høgskulen på Vestlandet;HVL;Hovedopptak;0;Alle;H;216 481;180;Sogndal;Historie;2015H;HISTORIE;2015;0
ORDF;Høgskulen på Vestlandet;HVL;Hovedopptak;0;Alle;H;216 481;180;Sogndal;Historie;2015H;HISTORIE;2015;0
ORD;Norges idrettshøgskole;NIH;Hovedopptak;49,1;  49.1;H;150 172;60;Oslo;Friluftsliv;2015H;IDRETT;2015;99
ORDF;Norges idrettshøgskole;NIH;Hovedopptak;35,7;  35.7;H;150 172;60;Oslo;Friluftsliv;2015H;IDRETT;2015;19
ORD;Universitetet i Agder;UIA;Hovedopptak;43,2;  43.2;H;201 440;180;Kristiansand;Idrett;2015H;IDRETT;2015;117
ORDF;Universitetet i Agder;UIA;Hovedopptak;41,3;  41.3;H;201 440;180;Kristiansand;Idrett;2015H;IDRETT;2015;72
ORD;Norges teknisk-naturvitenskapelige universitet;NTNU;Hovedopptak;46,5;  46.5;H;219 702;180;Trondheim;Bioingeniørutdanning;2015H;HELSEFAG - BIOING;2015;98
ORDF;Norges teknisk-naturvitenskapelige universitet;NTNU;Hovedopptak;43,4;  43.4;H;219 702;180;Trondheim;Bioingeniørutdanning;2015H;HELSEFAG - BIOING;2015;57
ORD;Universitetet i Oslo;UIO;Hovedopptak;38;  38.0;H;185 462;180;Oslo;Kunsthistorie;2015H;ESTETISK;2015;11
ORDF;Universitetet i Oslo;UIO;Hovedopptak;0;Alle;H;185 462;180;Oslo;Kunsthistorie;2015H;ESTETISK;2015;0
ORD;Universitetet i Oslo;UIO;Hovedopptak;0;Alle;H;185 626;60;Oslo;Kristendom;2015H;HISTORIE;2015;0
ORDF;Universitetet i Oslo;UIO;Hovedopptak;0;Alle;H;185 626;60;Oslo;Kristendom;2015H;HISTORIE;2015;0
ORDF;Universitetet i Innlandet;INN;Hovedopptak;0;Alle;H;209 446;60;Elverum;Mat, ernæring og helse;2016H;HELSEFAG - ERNÆRING;2016;0
ORD;Universitetet i Innlandet;INN;Hovedopptak;0;Alle;H;209 446;60;Elverum;Mat, ernæring og helse;2016H;HELSEFAG - ERNÆRING;2016;0
ORDF;Universitetet i Oslo;UIO;Hovedopptak;48,6;  48.6;H;185 874;180;Oslo;Kriminologi;2016H;SAMFUNN;2016;727
ORD;Universitetet i Oslo;UIO;Hovedopptak;52,8;  52.8;H;185 874;180;Oslo;Kriminologi;2016H;SAMFUNN;2016;1271
ORD;Høgskulen på Vestlandet;HVL;Hovedopptak;38,3;  38.3;H;216 164;60;Sogndal;Bedriftsøkonomi;2015H;ØKADM;2015;29
ORDF;Høgskulen på Vestlandet;HVL;Hovedopptak;36,9;  36.9;H;216 164;60;Sogndal;Bedriftsøkonomi;2015H;ØKADM;2015;15
ORD;Universitetet i Stavanger;UIS;Hovedopptak;53,8;  53.8;H;217 526;180;Stavanger;Rettsvitenskap;2017H;JUS;2017;622
ORDF;Universitetet i Stavanger;UIS;Hovedopptak;48,3;  48.3;H;217 526;180;Stavanger;Rettsvitenskap;2017H;JUS;2017;381
ORDF;Universitetet i Stavanger;UIS;Hovedopptak;0;Alle;H;217 755;300;Stavanger;Konstruksjoner og materialer;2016H;TEKNO - SIVING;2016;0
ORD;Universitetet i Stavanger;UIS;Hovedopptak;52,6;  52.6;H;217 755;300;Stavanger;Konstruksjoner og materialer;2016H;TEKNO - SIVING;2016;31
ORD;Dronning Mauds Minne Høgskole for barnehagelærerutdanning;DMMH;Hovedopptak;39,7;  39.7;H;253 133;180;Trondheim;Barnehagelærer, deltid;2017H;LÆRER - BHGLÆRER;2017;46
ORDF;Dronning Mauds Minne Høgskole for barnehagelærerutdanning;DMMH;Hovedopptak;0;Alle;H;253 133;180;Trondheim;Barnehagelærer, deltid;2017H;LÆRER - BHGLÆRER;2017;0
ORDF;UiT Norges arktiske universitet;UIT;Hovedopptak;0;Alle;H;186 479;180;Tromsø;Filosofi;2016H;HISTORIE;2016;0
ORD;UiT Norges arktiske universitet;UIT;Hovedopptak;0;Alle;H;186 479;180;Tromsø;Filosofi;2016H;HISTORIE;2016;0
ORDF;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;40,6;  40.6;H;215 003;180;Oslo;Ingeniør, bygg;2016H;TEKNO - INGENIØR;2016;22
ORD;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;51,6;  51.6;H;215 003;180;Oslo;Ingeniør, bygg;2016H;TEKNO - INGENIØR;2016;131
ORD;Nord universitet;NORD;Hovedopptak;0;Alle;H;204 750;180;Steinkjer;Revisjon;2016H;ØKADM;2016;0
ORDF;Nord universitet;NORD;Hovedopptak;0;Alle;H;204 750;180;Steinkjer;Revisjon;2016H;ØKADM;2016;0
ORD;Nord universitet;NORD;Hovedopptak;0;Alle;H;213 649;60;Nesna;Idrett årsstudium Sydney/Nesna;2015H;IDRETT;2015;0
ORDF;Nord universitet;NORD;Hovedopptak;0;Alle;H;213 649;60;Nesna;Idrett årsstudium Sydney/Nesna;2015H;IDRETT;2015;0
ORD;NLA Høgskolen;NLA;Hovedopptak;0;Alle;H;254 162;60;Oslo;Menighet og ledelse, årsstudium;2015H;HISTORIE;2015;0
ORDF;NLA Høgskolen;NLA;Hovedopptak;0;Alle;H;254 162;60;Oslo;Menighet og ledelse, årsstudium;2015H;HISTORIE;2015;0
ORD;Universitetet i Agder;UIA;Hovedopptak;0;Alle;H;201 795;180;Kristiansand;Tysk;2015H;SPRÅK;2015;0
ORDF;Universitetet i Agder;UIA;Hovedopptak;0;Alle;H;201 795;180;Kristiansand;Tysk;2015H;SPRÅK;2015;0
ORD;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;220 505;60;Notodden;Leire  kunst og design 1, årsstudium;2015H;ESTETISK;2015;0
ORDF;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;220 505;60;Notodden;Leire  kunst og design 1, årsstudium;2015H;ESTETISK;2015;0
ORD;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 659;240;Drammen;Grunnskolelærer, 5.-10. , SAM+ MAT, Drammen;2015H;LÆRER - GRL5-10;2015;0
ORDF;Universitetet i Sørøst-Norge;USN;Hovedopptak;0;Alle;H;222 659;240;Drammen;Grunnskolelærer, 5.-10. , SAM+ MAT, Drammen;2015H;LÆRER - GRL5-10;2015;0
ORD;Universitetet i Stavanger;UIS;Hovedopptak;0;Alle;H;217 754;60;Stavanger;Restaurantledelse;2016H;REISELIV;2016;0
ORDF;Universitetet i Stavanger;UIS;Hovedopptak;0;Alle;H;217 754;60;Stavanger;Restaurantledelse;2016H;REISELIV;2016;0
ORDF;Norges miljø- og biovitenskapelige universitet;NMBU;Hovedopptak;48;  48.0;H;192 949;300;Ås;By- og regionplanlegging;2017H;SAMFUNN;2017;83
ORD;Norges miljø- og biovitenskapelige universitet;NMBU;Hovedopptak;53,8;  53.8;H;192 949;300;Ås;By- og regionplanlegging;2017H;SAMFUNN;2017;192
ORD;Høgskulen på Vestlandet;HVL;Hovedopptak;40,9;  40.9;H;216 835;180;Sogndal;Fornybar energi;2015H;SAMFUNN;2015;40
ORDF;Høgskulen på Vestlandet;HVL;Hovedopptak;35,5;  35.5;H;216 835;180;Sogndal;Fornybar energi;2015H;SAMFUNN;2015;14
ORD;Universitetet i Agder;UIA;Hovedopptak;43,1;  43.1;H;201 247;60;Kristiansand;Utviklingsstudiet, årsstudium;2015H;SAMFUNN;2015;59
ORDF;Universitetet i Agder;UIA;Hovedopptak;40;  40.0;H;201 247;60;Kristiansand;Utviklingsstudiet, årsstudium;2015H;SAMFUNN;2015;26
ORDF;Universitetet i Innlandet;INN;Hovedopptak;43,2;  43.2;H;209 362;60;Hamar;Agronomi, årsstudium;2016H;LANDOGHAVBRUK;2016;5
ORD;Universitetet i Innlandet;INN;Hovedopptak;44,6;  44.6;H;209 362;60;Hamar;Agronomi, årsstudium;2016H;LANDOGHAVBRUK;2016;11
ORD;Universitetet i Stavanger;UIS;Hovedopptak;0;Alle;H;217 481;180;Stavanger;Bachelorprogram i historie;2015H;HISTORIE;2015;0
ORDF;Universitetet i Stavanger;UIS;Hovedopptak;0;Alle;H;217 481;180;Stavanger;Bachelorprogram i historie;2015H;HISTORIE;2015;0
ORD;Norges teknisk-naturvitenskapelige universitet;NTNU;Hovedopptak;46,5;  46.5;H;194 050;180;Gjøvik;Sykepleie, Gjøvik;2018H;HELSEFAG - SYKEPL;2018;1129
ORDF;Norges teknisk-naturvitenskapelige universitet;NTNU;Hovedopptak;41,7;  41.7;H;194 050;180;Gjøvik;Sykepleie, Gjøvik;2018H;HELSEFAG - SYKEPL;2018;474
ORD;Høgskulen på Vestlandet;HVL;Hovedopptak;0;Alle;H;203 481;180;Sogndal;Historie, bachelor;2018H;HISTORIE;2018;0
ORDF;Høgskulen på Vestlandet;HVL;Hovedopptak;0;Alle;H;203 481;180;Sogndal;Historie, bachelor;2018H;HISTORIE;2018;0
ORDF;Høgskulen på Vestlandet;HVL;Hovedopptak;0;Alle;H;203 675;180;Førde;Ingeniør, bygg og anlegg;2018H;TEKNO - INGENIØR;2018;0
ORD;Høgskulen på Vestlandet;HVL;Hovedopptak;0;Alle;H;203 675;180;Førde;Ingeniør, bygg og anlegg;2018H;TEKNO - INGENIØR;2018;0
ORDF;Nord universitet;NORD;Hovedopptak;0;Alle;H;204 179;60;Bodø;Historie, årsstudium;2018H;HISTORIE;2018;0
ORD;Nord universitet;NORD;Hovedopptak;0;Alle;H;204 179;60;Bodø;Historie, årsstudium;2018H;HISTORIE;2018;0
ORD;Nord universitet;NORD;Hovedopptak;-2;Avlyst;H;204 454;180;Bodø;Journalistikk;2018H;MEDIEFAG;2018;0
ORDF;Nord universitet;NORD;Hovedopptak;-2;Avlyst;H;204 454;180;Bodø;Journalistikk;2018H;MEDIEFAG;2018;0
ORDF;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;0;Alle;H;215 009;180;Oslo;Ingeniør, bioteknologi og kjemi;2018H;TEKNO - INGENIØR;2018;0
ORD;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;41,7;  41.7;H;215 009;180;Oslo;Ingeniør, bioteknologi og kjemi;2018H;TEKNO - INGENIØR;2018;3
ORD;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;51,2;  51.2;H;215 369;180;Oslo;Økonomi og administrasjon ;2018H;ØKADM;2018;1304
ORDF;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;45,2;  45.2;H;215 369;180;Oslo;Økonomi og administrasjon ;2018H;ØKADM;2018;712
ORDF;Universitetet i Stavanger;UIS;Hovedopptak;0;Alle;H;217 618;60;Stavanger;Drama;2018H;ESTETISK;2018;0
ORD;Universitetet i Stavanger;UIS;Hovedopptak;0;Alle;H;217 618;60;Stavanger;Drama;2018H;ESTETISK;2018;0
ORD;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;52,4;  52.4;H;215 691;60;Oslo;Utviklingsstudier, årsstudium;2018H;SAMFUNN;2018;235
ORDF;OsloMet - storbyuniversitetet;OSLOMET;Hovedopptak;44,6;  44.6;H;215 691;60;Oslo;Utviklingsstudier, årsstudium;2018H;SAMFUNN;2018;96
ORD;Universitetet i Innlandet;INN;Hovedopptak;39,9;  39.9;H;209 130;180;Hamar;Barnehagelærer;2018H;LÆRER - BHGLÆRER;2018;102
ORDF;Universitetet i Innlandet;INN;Hovedopptak;28,2;  28.2;H;209 130;180;Hamar;Barnehagelærer;2018H;LÆRER - BHGLÆRER;2018;9
ORDF;Norges idrettshøgskole;NIH;Hovedopptak;41,2;  41.2;H;150 605;180;Oslo;Friluftsliv;2018H;IDRETT;2018;73
